"day","match","clicks","impressions","cost","avgpos","qualityscore","conv"
"2013-10-15","Broad",0,6,0,4.8,6,0
"2013-11-03","Phrase",0,1,0,1,5,0
"2013-11-11","Phrase",0,5,0,1,6,0
"2013-10-22","Broad",0,2,0,1,7,0
"2013-10-26","Broad",0,1,0,1,10,0
"2013-11-12","Broad",6,317,4.8,3.7,6,0
"2013-11-03","Broad",0,1,0,1,6,0
"2013-10-15","Broad",0,3,0,2,7,0
"2013-10-16","Broad",0,17,0,3.2,5,0
"2013-10-27","Phrase",0,1,0,1,7,0
"2013-10-29","Phrase",0,5,0,1.6,5,0
"2013-11-07","Phrase",2,66,2.33,3,6,0
"2013-10-18","Phrase",0,28,0,1.5,5,0
"2013-10-25","Broad",2,290,1.27,3.4,6,0
"2013-10-16","Broad",0,23,0,1.6,5,0
"2013-11-08","Exact",0,1,0,1,7,0
"2013-11-12","Broad",0,7,0,3.1,4,0
"2013-11-05","Broad",0,6,0,6.8,6,0
"2013-11-01","Broad",0,1,0,7,6,0
"2013-11-11","Phrase",1,1,0.75,1,8,0
"2013-10-18","Broad",0,1,0,5,8,0
"2013-10-25","Broad",0,13,0,3.9,7,0
"2013-11-07","Broad",0,1,0,2,8,0
"2013-11-08","Broad",0,20,0,4.2,5,0
"2013-10-24","Broad",0,2,0,3.5,6,0
"2013-10-23","Broad",0,2,0,4,5,0
"2013-10-15","Broad",0,5,0,2.2,5,0
"2013-10-14","Broad",0,6,0,3.8,6,0
"2013-11-07","Broad",4,27,3.3,3,4,0
"2013-10-20","Broad",0,7,0,3.3,5,0
"2013-11-11","Broad",0,4,0,2.5,6,0
"2013-11-11","Phrase",0,1,0,2,4,0
"2013-10-16","Phrase",1,67,0.74,2.9,4,0
"2013-10-23","Broad",0,2,0,2.5,5,0
"2013-11-08","Broad",1,6,0.7,4.8,7,0
"2013-10-14","Broad",0,25,0,4.6,7,0
"2013-10-26","Exact",0,1,0,11,3,0
"2013-10-19","Phrase",0,2,0,8,7,0
"2013-11-05","Phrase",0,7,0,1.1,6,0
"2013-10-18","Broad",0,1,0,2,7,0
"2013-10-17","Broad",0,1,0,3,6,0
"2013-10-29","Phrase",1,1,0.48,2,7,0
"2013-10-21","Broad",0,2,0,1.5,6,0
"2013-10-19","Broad",1,41,0.17,2.8,7,0
"2013-10-28","Broad",0,2,0,2.5,7,0
"2013-10-29","Phrase",0,2,0,1,7,0
"2013-11-02","Broad",0,8,0,3.1,7,0
